0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Genesis,1,1,in,in,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,1,principio,principium,noun,-,-,singular,-,-,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,-
Genesis,1,1,creavit,creo,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,1,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,1,caelum,caelum,noun,-,-,singular,-,-,-,-,-,neuter,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,1,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,1,terram,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,1,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,2,terra,terra,noun,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,2,autem,autem,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,2,erat,sum,auxiliary,-,-,singular,active,-,past,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,2,inanis,inanis,adjective,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,2,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,2,vacua,vacua,adjective,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,2,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,2,tenebrae,tenebra,noun,-,-,singular,-,-,-,-,-,feminine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,2,super,super,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,2,faciem,facies,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,2,abyssi,abyssus,noun,-,-,singular,-,-,-,-,-,masculine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,2,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,2,spiritus,spiritus,noun,-,-,singular,-,-,-,-,-,masculine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,2,Dei,Dei,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,genitive,-,-,-,-,-,-,-,-
Genesis,1,2,ferebatur,fero,verb,-,-,singular,passive,-,past,-,-,-,-,-,imperfective,-,-,indicative,-,third,finite,-
Genesis,1,2,super,super,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,2,aquas,aqua,noun,-,-,plural,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,2,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,3,dixitque,dico,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,3,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,3,fiat,facio,verb,-,-,singular,passive,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,3,lux,lux,noun,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,3,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,3,facta,facio,verb,-,-,singular,passive,-,past,-,-,feminine,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,3,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,3,lux,lux,noun,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,3,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,4,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,4,vidit,vidit,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,4,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,4,lucem,lux,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,4,quod,quod,subordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,4,esset,sum,auxiliary,-,-,singular,active,-,past,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,4,bona,bonus,adjective,-,-,singular,-,-,-,-,-,feminine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,4,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,4,divisit,dieo,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,4,lucem,lux,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
