book	chapter	verse	text	lemma	pos	case	gender	animacy	number	definiteness	degree	strength	verbform	tense	mood	aspect	voice	person	polarity	politeness	clusivity	evidentiality	strength
Genesis	1	1	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	principio	principium	noun	ablative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	creavit	creo	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	1	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	caelum	caelum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	terram	terra	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	1	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	terra	terra	noun	nominative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	autem	autem	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	erat	sum	auxiliary	-	-	-	singular	-	-	-	finite	past	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	2	inanis	inanis	adjective	nominative	feminine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	vacua	vacua	adjective	nominative	feminine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	tenebrae	tenebra	noun	genitive	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	super	super	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	faciem	facies	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	abyssi	abyssus	noun	genitive	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	spiritus	spiritus	noun	genitive	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	Dei	Dei	proper_noun	genitive	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	ferebatur	fero	verb	-	-	-	singular	-	-	-	finite	past	indicative	imperfective	passive	third	-	-	-	-	-
Genesis	1	2	super	super	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	aquas	aqua	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	2	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	3	dixitque	dico	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	3	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	3	fiat	facio	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	passive	third	-	-	-	-	-
Genesis	1	3	lux	lux	noun	nominative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	3	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	3	facta	facio	verb	nominative	feminine	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	3	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	3	lux	lux	noun	nominative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	3	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
